snapshot_date,country,iso3,us_integration_depth,china_exposure_depth,net_alignment_score,source
2025-12-18,Israel,ISR,56.972452076987764,10.0,73.48622603849388,backfilled
2025-12-18,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-12-18,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-12-18,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2025-12-18,Oman,OMN,20.0,60.0,30.0,backfilled
2025-12-18,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-12-18,Qatar,QAT,40.0,40.0,50.0,backfilled
2025-12-18,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2025-12-18,Syria,SYR,0.0,50.0,25.0,backfilled
2025-12-18,Turkey,TUR,40.0,70.0,35.0,backfilled
2025-12-18,United Arab Emirates,ARE,57.91934593292352,60.0,48.95967296646177,backfilled
2025-12-18,Yemen,YEM,0.0,20.0,40.0,backfilled
2026-02-07,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2026-02-07,Bahrain,BHR,40.0,30.0,55.0,backfilled
2026-02-07,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2026-02-07,Iran,IRN,0.0,50.0,25.0,backfilled
2026-02-07,Iraq,IRQ,0.0,50.0,25.0,backfilled
2026-02-07,Israel,ISR,56.972452076987764,10.0,73.48622603849388,backfilled
2026-02-07,Jordan,JOR,20.0,30.0,45.0,backfilled
2026-02-07,Kuwait,KWT,20.0,70.0,25.0,backfilled
2026-02-07,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2026-02-07,Oman,OMN,20.0,60.0,30.0,backfilled
2026-02-07,Pakistan,PAK,20.0,80.0,20.0,backfilled
2026-02-07,Qatar,QAT,40.0,40.0,50.0,backfilled
2026-02-07,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2026-02-07,Syria,SYR,6.406911043453157,50.0,28.203455521726582,backfilled
2026-02-07,Turkey,TUR,40.0,70.0,35.0,backfilled
2026-02-07,United Arab Emirates,ARE,57.91934593292352,60.0,48.95967296646177,backfilled
2026-02-07,Yemen,YEM,0.0,20.0,40.0,backfilled
2026-02-09,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2026-02-09,Bahrain,BHR,40.0,30.0,55.0,backfilled
2026-02-09,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2026-02-09,Iran,IRN,0.0,50.0,25.0,backfilled
2026-02-09,Iraq,IRQ,12.635681235586706,50.0,31.31784061779335,backfilled
2026-02-09,Israel,ISR,56.972452076987764,10.0,73.48622603849388,backfilled
2026-02-09,Jordan,JOR,20.0,30.0,45.0,backfilled
2026-02-09,Kuwait,KWT,20.0,70.0,25.0,backfilled
